I.Q. (1994)|Quiz Show (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Fish Called Wanda, A (1988)|Wrong Trousers, The (1993)|Good, The Bad and The Ugly, The (1966)|Army of Darkness (1993)|Grand Day Out, A (1992)|Jerry Maguire (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Lone Star (1996)|Citizen Ruth (1996)|Turbo: A Power Rangers Movie (1997)|Batman & Robin (1997)|Men in Black (1997)|Sabrina (1995)|Pinocchio (1940)|Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)|That Darn Cat! (1997)
Muppet Treasure Island (1996)|Delicatessen (1991)|Right Stuff, The (1983)|Sting, The (1973)|Star Trek VI: The Undiscovered Country (1991)|Tombstone (1993)|Apartment, The (1960)|Dumbo (1941)|M (1931)|Congo (1995)
Secrets & Lies (1996)|Tombstone (1993)|Streetcar Named Desire, A (1951)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)|Crow: City of Angels, The (1996)|You So Crazy (1994)
Copycat (1995)|Braveheart (1995)|Ed Wood (1994)|Hudsucker Proxy, The (1994)|Kansas City (1996)|Mirror Has Two Faces, The (1996)|Roman Holiday (1953)|People vs. Larry Flynt, The (1996)|Ben-Hur (1959)|Hour of the Pig, The (1993)
Evil Dead II (1987)|This Is Spinal Tap (1984)|Indiana Jones and the Last Crusade (1989)|Forbidden Planet (1956)|Daytrippers, The (1996)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Wes Craven's New Nightmare (1994)|Chinatown (1974)|Life Less Ordinary, A (1997)
Brazil (1985)|Unforgiven (1992)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Tales from the Hood (1995)|Hour of the Pig, The (1993)|Fire on the Mountain (1996)|Chain Reaction (1996)|You So Crazy (1994)
Babe (1995)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Army of Darkness (1993)|Under Siege (1992)|Men in Black (1997)|Dante's Peak (1997)|Farinelli: il castrato (1994)|Eddie (1996)|Braindead (1992)
Ace Ventura: Pet Detective (1994)|Sound of Music, The (1965)|Right Stuff, The (1983)|Shining, The (1980)|Indiana Jones and the Last Crusade (1989)|Field of Dreams (1989)|Mimic (1997)|Super Mario Bros. (1993)|Corrina, Corrina (1994)|Baby-Sitters Club, The (1995)
Mighty Aphrodite (1995)|Outbreak (1995)|Mask, The (1994)|Snow White and the Seven Dwarfs (1937)|Henry V (1989)|Indiana Jones and the Last Crusade (1989)|Under Siege (1992)|Some Like It Hot (1959)|Magnificent Seven, The (1954)|Diva (1981)
Outbreak (1995)|Four Weddings and a Funeral (1994)|Snow White and the Seven Dwarfs (1937)|Bridge on the River Kwai, The (1957)|Sense and Sensibility (1995)|Hoodlum (1997)|In the Name of the Father (1993)|Dangerous Minds (1995)|Streetcar Named Desire, A (1951)|Kalifornia (1993)
Kansas City (1996)|Empire Strikes Back, The (1980)|Aliens (1986)|Full Metal Jacket (1987)|Dead Poets Society (1989)|When the Cats Away (Chacun cherche son chat) (1996)|Sabrina (1995)|Philadelphia Story, The (1940)|Treasure of the Sierra Madre, The (1948)|Ninotchka (1939)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Babe (1995)|Sense and Sensibility (1995)|Marvin's Room (1996)|Ulee's Gold (1997)|In & Out (1997)|Midnight in the Garden of Good and Evil (1997)|Pinocchio (1940)|Tombstone (1993)|Shiloh (1997)
Snow White and the Seven Dwarfs (1937)|Striptease (1996)|Long Kiss Goodnight, The (1996)|Streetcar Named Desire, A (1951)|Annie Hall (1977)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Harriet the Spy (1996)|Con Air (1997)|You So Crazy (1994)
Home Alone (1990)|Bram Stoker's Dracula (1992)|Under Siege (1992)|Murder at 1600 (1997)|Heathers (1989)|Carrie (1976)|Philadelphia Story, The (1940)|Clear and Present Danger (1994)|Hour of the Pig, The (1993)|Amityville: Dollhouse (1996)
unknown|Chasing Amy (1997)|Hoodlum (1997)|Crash (1996)|Man Who Knew Too Little, The (1997)|Waterworld (1995)|Mary Shelley's Frankenstein (1994)|M (1931)|Fried Green Tomatoes (1991)|Picture Perfect (1997)
Bad Boys (1995)|Shall We Dance? (1996)|Midnight in the Garden of Good and Evil (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Schindler's List (1993)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Private Parts (1997)
Free Willy (1993)|Citizen Kane (1941)|Air Bud (1997)|Gattaca (1997)|In & Out (1997)|L.A. Confidential (1997)|Candidate, The (1972)|Speed (1994)|House of the Spirits, The (1993)|8 1/2 (1963)
Breaking the Waves (1996)|Sneakers (1992)|Devil's Own, The (1997)|Grosse Pointe Blank (1997)|Pinocchio (1940)|Bastard Out of Carolina (1996)|Streetcar Named Desire, A (1951)|Farinelli: il castrato (1994)|Ice Storm, The (1997)|2 Days in the Valley (1996)
Gattaca (1997)|Marvin's Room (1996)|Absolute Power (1997)|Donnie Brasco (1997)|Midnight in the Garden of Good and Evil (1997)|White Man's Burden (1995)|Quick and the Dead, The (1995)|Fire on the Mountain (1996)|That Darn Cat! (1997)|You So Crazy (1994)
Contact (1997)|Absolute Power (1997)|Donnie Brasco (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Quick and the Dead, The (1995)|Postman, The (1997)|You So Crazy (1994)
Men in Black (1997)|Contact (1997)|Steel (1997)|Hoodlum (1997)|Paradise Lost: The Child Murders at Robin Hood Hills (1996)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Mary Shelley's Frankenstein (1994)|Benny & Joon (1993)|Mrs. Dalloway (1997)
Chasing Amy (1997)|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|Schindler's List (1993)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Wishmaster (1997)|Excess Baggage (1997)|Money Talks (1997)|Washington Square (1997)
Brothers McMullen, The (1995)|Sleepless in Seattle (1993)|Aladdin (1992)|Unhook the Stars (1996)|Princess Bride, The (1987)|This Is Spinal Tap (1984)|Star Trek IV: The Voyage Home (1986)|Vampire in Brooklyn (1995)|Stephen King's The Langoliers (1995)|Tales from the Hood (1995)
Muppet Treasure Island (1996)|Bad Boys (1995)|Four Weddings and a Funeral (1994)|Free Willy (1993)|Godfather: Part II, The (1974)|Bram Stoker's Dracula (1992)|When the Cats Away (Chacun cherche son chat) (1996)|Batman (1989)|Hour of the Pig, The (1993)|Shooter, The (1995)
Chasing Amy (1997)|Starship Troopers (1997)|In & Out (1997)|Apostle, The (1997)|Prophecy II, The (1998)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)
Men in Black (1997)|Starship Troopers (1997)|Secrets & Lies (1996)|Hoodlum (1997)|Fly Away Home (1996)|Paradise Lost: The Child Murders at Robin Hood Hills (1996)|Apostle, The (1997)|Jackie Brown (1997)|MatchMaker, The (1997)|Peacemaker, The (1997)
I.Q. (1994)|Crow, The (1994)|Aladdin (1992)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Private Benjamin (1980)|Princess Bride, The (1987)|Back to the Future (1985)|Client, The (1994)|Forbidden Planet (1956)
Bad Boys (1995)|Crow, The (1994)|Aladdin (1992)|Dances with Wolves (1990)|Citizen Kane (1941)|This Is Spinal Tap (1984)|Brady Bunch Movie, The (1995)|Highlander (1986)|Dial M for Murder (1954)|House Arrest (1996)
I.Q. (1994)|Home Alone (1990)|Terminator 2: Judgment Day (1991)|Cold Comfort Farm (1995)|Raiders of the Lost Ark (1981)|Chasing Amy (1997)|Starship Troopers (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Spy Hard (1996)|Funny Face (1957)
Richard III (1995)|Muppet Treasure Island (1996)|Aladdin (1992)|Raiders of the Lost Ark (1981)|Star Trek: The Wrath of Khan (1982)|Austin Powers: International Man of Mystery (1997)|When the Cats Away (Chacun cherche son chat) (1996)|In the Name of the Father (1993)|Harold and Maude (1971)
Postino, Il (1994)|Angels and Insects (1995)|Moll Flanders (1996)|Kids in the Hall: Brain Candy (1996)|Operation Dumbo Drop (1995)|Spitfire Grill, The (1996)|River Wild, The (1994)|Marvin's Room (1996)|Dragonheart (1996)|Freeway (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|I.Q. (1994)|Lone Star (1996)|Apocalypse Now (1979)|Donnie Brasco (1997)|Hoodlum (1997)|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|Cop Land (1997)|My Own Private Idaho (1991)|You So Crazy (1994)
Men in Black (1997)|Air Bud (1997)|Marvin's Room (1996)|Scream (1996)|L.A. Confidential (1997)|Murder at 1600 (1997)|G.I. Jane (1997)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Last Time I Committed Suicide, The (1997)
Princess Bride, The (1987)|Army of Darkness (1993)|Star Trek VI: The Undiscovered Country (1991)|Secrets & Lies (1996)|Children of the Corn: The Gathering (1996)|Transformers: The Movie, The (1986)|Vertigo (1958)|Cool Hand Luke (1967)|Ben-Hur (1959)|Quick and the Dead, The (1995)
Richard III (1995)|Professional, The (1994)|Aladdin (1992)|Swingers (1996)|Private Benjamin (1980)|Cyrano de Bergerac (1990)|Young Frankenstein (1974)|Jerry Maguire (1996)|Aladdin and the King of Thieves (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Sense and Sensibility (1995)|Secrets & Lies (1996)|Dante's Peak (1997)|G.I. Jane (1997)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Stephen King's The Langoliers (1995)|Albino Alligator (1996)
Jurassic Park (1993)|Gone with the Wind (1939)|2001: A Space Odyssey (1968)|Empire Strikes Back, The (1980)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|You So Crazy (1994)
White Balloon, The (1995)|Snow White and the Seven Dwarfs (1937)|Phenomenon (1996)|When the Cats Away (Chacun cherche son chat) (1996)|Once Upon a Time... When We Were Colored (1995)|In the Name of the Father (1993)|Transformers: The Movie, The (1986)|Like Water For Chocolate (Como agua para chocolate) (1992)|M (1931)|Anne Frank Remembered (1995)
Postino, Il (1994)|Santa Clause, The (1994)|Rock, The (1996)|Swingers (1996)|Princess Bride, The (1987)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|You So Crazy (1994)
Cold Comfort Farm (1995)|Swingers (1996)|Citizen Ruth (1996)|Austin Powers: International Man of Mystery (1997)|Men in Black (1997)|Liar Liar (1997)|Midnight in the Garden of Good and Evil (1997)|Kiss the Girls (1997)|In the Line of Fire (1993)|Jane Eyre (1996)
Muppet Treasure Island (1996)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Tales from the Hood (1995)|Fire on the Mountain (1996)|You So Crazy (1994)
Belle de jour (1967)|Stargate (1994)|Swingers (1996)|Brazil (1985)|Henry V (1989)|Pink Floyd - The Wall (1982)|Up Close and Personal (1996)|Pinocchio (1940)|Wes Craven's New Nightmare (1994)|Made in America (1993)
Billy Madison (1995)|Free Willy (1993)|Empire Strikes Back, The (1980)|Breaking the Waves (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Trainspotting (1996)|Beautiful Girls (1996)|Bogus (1996)|Shaggy Dog, The (1959)|Shiloh (1997)
Billy Madison (1995)|Three Colors: Blue (1993)|Private Benjamin (1980)|Young Frankenstein (1974)|Unbearable Lightness of Being, The (1988)|Star Trek: First Contact (1996)|Starship Troopers (1997)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Seventh Seal, The (Sjunde inseglet, Det) (1957)|Touch of Evil (1958)
Taxi Driver (1976)|I.Q. (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Spitfire Grill, The (1996)|Sense and Sensibility (1995)|Fantasia (1940)|Roman Holiday (1953)|Annie Hall (1977)|Geronimo: An American Legend (1993)
Quiz Show (1994)|Dances with Wolves (1990)|Kansas City (1996)|Princess Bride, The (1987)|Clockwork Orange, A (1971)|Nikita (La Femme Nikita) (1990)|Forbidden Planet (1956)|Down by Law (1986)|Killing Fields, The (1984)|Michael Collins (1996)
Kolya (1996)|Hoodlum (1997)|Deceiver (1997)|187 (1997)|Critical Care (1997)|Village of the Damned (1995)|Jackal, The (1997)|Benny & Joon (1993)|Amistad (1997)|Old Man and the Sea, The (1958)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Outbreak (1995)|Hudsucker Proxy, The (1994)|Dances with Wolves (1990)|Princess Bride, The (1987)|In & Out (1997)|Tales From the Crypt Presents: Demon Knight (1995)|Smoke (1995)|Bringing Up Baby (1938)|Ben-Hur (1959)
Postino, Il (1994)|Free Willy (1993)|Mr. Smith Goes to Washington (1939)|Tin Cup (1996)|Hoodlum (1997)|Streetcar Named Desire, A (1951)|Hellraiser: Bloodline (1996)|Until the End of the World (Bis ans Ende der Welt) (1991)|I Shot Andy Warhol (1996)|Basquiat (1996)
Santa Clause, The (1994)|Sleepless in Seattle (1993)|Blues Brothers, The (1980)|Grand Day Out, A (1992)|Young Frankenstein (1974)|Field of Dreams (1989)|Heathers (1989)|Around the World in 80 Days (1956)|Annie Hall (1977)|Seventh Seal, The (Sjunde inseglet, Det) (1957)
Exotica (1994)|Professional, The (1994)|Santa Clause, The (1994)|Carlito's Way (1993)|Jerry Maguire (1996)|Men in Black (1997)|Last Action Hero (1993)|Aladdin and the King of Thieves (1996)|Magnificent Seven, The (1954)|Castle Freak (1995)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Angels and Insects (1995)|Once Upon a Time... When We Were Colored (1995)|Up Close and Personal (1996)|Streetcar Named Desire, A (1951)|Traveller (1997)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)
Rumble in the Bronx (1995)|Striptease (1996)|Cable Guy, The (1996)|Jaws (1975)|Sneakers (1992)|Ponette (1996)|My Own Private Idaho (1991)|Bogus (1996)|Associate, The (1996)|Thin Line Between Love and Hate, A (1996)
I.Q. (1994)|Good, The Bad and The Ugly, The (1966)|River Wild, The (1994)|Secrets & Lies (1996)|Close Shave, A (1995)|White Man's Burden (1995)|Wolf (1994)|Another Stakeout (1993)|Last Supper, The (1995)|Beautiful Girls (1996)
Return of the Jedi (1983)|Breaking the Waves (1996)|Jaws (1975)|My Best Friend's Wedding (1997)|Hoodlum (1997)|Kiss the Girls (1997)|Transformers: The Movie, The (1986)|Escape to Witch Mountain (1975)|War Room, The (1993)|When We Were Kings (1996)
Bedknobs and Broomsticks (1971)|Raiders of the Lost Ark (1981)|This Is Spinal Tap (1984)|Mimic (1997)|Ghost (1990)|Spy Hard (1996)|Some Like It Hot (1959)|Magnificent Seven, The (1954)|My Own Private Idaho (1991)|Hour of the Pig, The (1993)
Professional, The (1994)|Sleepless in Seattle (1993)|Snow White and the Seven Dwarfs (1937)|Dead Poets Society (1989)|When the Cats Away (Chacun cherche son chat) (1996)|Tin Cup (1996)|Client, The (1994)|Third Man, The (1949)|Kid in King Arthur's Court, A (1995)|Dead Man (1995)
Aladdin (1992)|Snow White and the Seven Dwarfs (1937)|Cold Comfort Farm (1995)|Gone with the Wind (1939)|Blues Brothers, The (1980)|This Is Spinal Tap (1984)|101 Dalmatians (1996)|Annie Hall (1977)|Gandhi (1982)|Hellraiser: Bloodline (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Seven (Se7en) (1995)|Quiz Show (1994)|Supercop (1992)|Dirty Dancing (1987)|Dead Poets Society (1989)|Client, The (1994)|Rebel Without a Cause (1955)|Third Man, The (1949)|Dead Man (1995)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Striptease (1996)|Supercop (1992)|unknown|Starship Troopers (1997)|Air Force One (1997)|Dante's Peak (1997)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Albino Alligator (1996)
Usual Suspects, The (1995)|Professional, The (1994)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Terminator, The (1984)|Gattaca (1997)|Emma (1996)|Evita (1996)|Air Force One (1997)|Bogus (1996)|Last Dance (1996)
Snow White and the Seven Dwarfs (1937)|Mr. Smith Goes to Washington (1939)|Raiders of the Lost Ark (1981)|Amadeus (1984)|Sense and Sensibility (1995)|Secrets & Lies (1996)|Alice in Wonderland (1951)|James and the Giant Peach (1996)|Johnny Mnemonic (1995)|Until the End of the World (Bis ans Ende der Welt) (1991)
Sleepless in Seattle (1993)|Dances with Wolves (1990)|Sleeper (1973)|GoodFellas (1990)|Breaking the Waves (1996)|Jerry Maguire (1996)|James and the Giant Peach (1996)|Magnificent Seven, The (1954)|Miller's Crossing (1990)|Cook the Thief His Wife & Her Lover, The (1989)
Batman & Robin (1997)|When the Cats Away (Chacun cherche son chat) (1996)|Donnie Brasco (1997)|Ulee's Gold (1997)|G.I. Jane (1997)|Trainspotting (1996)|Wild Bill (1995)|Farinelli: il castrato (1994)|Tales from the Hood (1995)|Peacemaker, The (1997)
Snow White and the Seven Dwarfs (1937)|Chasing Amy (1997)|Air Force One (1997)|Ice Storm, The (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Winter Guest, The (1997)|You So Crazy (1994)
Dolores Claiborne (1994)|Santa Clause, The (1994)|Cyrano de Bergerac (1990)|Pink Floyd - The Wall (1982)|Some Like It Hot (1959)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Village of the Damned (1995)|Browning Version, The (1994)|You So Crazy (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Frighteners, The (1996)|Monty Python and the Holy Grail (1974)|Breaking the Waves (1996)|Sabrina (1995)|Sense and Sensibility (1995)|Emma (1996)|Highlander (1986)|Misérables, Les (1995)|Last Supper, The (1995)
I.Q. (1994)|Love Bug, The (1969)|Swingers (1996)|Army of Darkness (1993)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Philadelphia Story, The (1940)|His Girl Friday (1940)|Wings of Desire (1987)|Miller's Crossing (1990)|Down by Law (1986)
Four Weddings and a Funeral (1994)|Henry V (1989)|Hoodlum (1997)|Naked Gun 33 1/3: The Final Insult (1994)|Man Without a Face, The (1993)|Trainspotting (1996)|Philadelphia Story, The (1940)|Rocket Man (1997)|Corrina, Corrina (1994)|Threesome (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Seven (Se7en) (1995)|Rumble in the Bronx (1995)|Forrest Gump (1994)|Free Willy (1993)|Home Alone (1990)|Smilla's Sense of Snow (1997)|Men in Black (1997)|First Wives Club, The (1996)|Pocahontas (1995)
Free Willy (1993)|Gone with the Wind (1939)|Clockwork Orange, A (1971)|Blues Brothers, The (1980)|Bringing Up Baby (1938)|My Life as a Dog (Mitt liv som hund) (1985)|Crying Game, The (1992)|Touch of Evil (1958)|House of the Spirits, The (1993)|Michael Collins (1996)
Full Monty, The (1997)|Scream (1996)|Hoodlum (1997)|Cop Land (1997)|Waterworld (1995)|White Man's Burden (1995)|Mary Shelley's Frankenstein (1994)|Vegas Vacation (1997)|Hugo Pool (1997)|You So Crazy (1994)
Twelve Monkeys (1995)|What's Eating Gilbert Grape (1993)|Striptease (1996)|Spitfire Grill, The (1996)|Godfather, The (1972)|Young Guns (1988)|Annie Hall (1977)|Sex, Lies, and Videotape (1989)|Relative Fear (1994)|Two if by Sea (1996)
Event Horizon (1997)|Hoodlum (1997)|In & Out (1997)|Midnight in the Garden of Good and Evil (1997)|Crash (1996)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Soul Food (1997)|You So Crazy (1994)
Usual Suspects, The (1995)|Rumble in the Bronx (1995)|M*A*S*H (1970)|Unbearable Lightness of Being, The (1988)|Citizen Ruth (1996)|unknown|Sabrina (1995)|Star Trek V: The Final Frontier (1989)|Career Girls (1997)|Indian in the Cupboard, The (1995)
Cold Comfort Farm (1995)|Gone with the Wind (1939)|Army of Darkness (1993)|Matilda (1996)|Philadelphia Story, The (1940)|Apartment, The (1960)|Around the World in 80 Days (1956)|Great Escape, The (1963)|Pump Up the Volume (1990)|Farewell to Arms, A (1932)
Santa Clause, The (1994)|Gone with the Wind (1939)|Apocalypse Now (1979)|Hoodlum (1997)|Crash (1996)|Cop Land (1997)|Vertigo (1958)|Blue Angel, The (Blaue Engel, Der) (1930)|Benny & Joon (1993)|MatchMaker, The (1997)
Nightmare Before Christmas, The (1993)|Aladdin (1992)|Snow White and the Seven Dwarfs (1937)|Brazil (1985)|Evil Dead II (1987)|Groundhog Day (1993)|Austin Powers: International Man of Mystery (1997)|Aladdin and the King of Thieves (1996)|James and the Giant Peach (1996)|Pyromaniac's Love Story, A (1995)
Rock, The (1996)|Breaking the Waves (1996)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Boxing Helena (1993)|City Slickers II: The Legend of Curly's Gold (1994)
Seven (Se7en) (1995)|Professional, The (1994)|Sleepless in Seattle (1993)|Sound of Music, The (1965)|Groundhog Day (1993)|Indiana Jones and the Last Crusade (1989)|Star Trek: First Contact (1996)|Around the World in 80 Days (1956)|Dial M for Murder (1954)|Gandhi (1982)
Rumble in the Bronx (1995)|Home Alone (1990)|Cold Comfort Farm (1995)|Delicatessen (1991)|Apocalypse Now (1979)|Raising Arizona (1987)|Client, The (1994)|His Girl Friday (1940)|My Left Foot (1989)|M (1931)
Apocalypse Now (1979)|Right Stuff, The (1983)|Matilda (1996)|Third Man, The (1949)|Wild Bill (1995)|Blown Away (1994)|Body Snatchers (1993)|Cliffhanger (1993)|Thin Blue Line, The (1988)|Candyman (1992)
I.Q. (1994)|Dances with Wolves (1990)|Private Benjamin (1980)|Monty Python and the Holy Grail (1974)|Unforgiven (1992)|Cyrano de Bergerac (1990)|Highlander (1986)|Heathers (1989)|Apartment, The (1960)|Around the World in 80 Days (1956)
Empire Strikes Back, The (1980)|Young Frankenstein (1974)|Third Man, The (1949)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Pump Up the Volume (1990)
Diabolique (1996)|Cold Comfort Farm (1995)|Delicatessen (1991)|Devil's Own, The (1997)|Sabrina (1995)|3 Ninjas: High Noon At Mega Mountain (1998)|Cop Land (1997)|Deconstructing Harry (1997)|Jane Eyre (1996)|Beautiful Girls (1996)
unknown|Absolute Power (1997)|Wag the Dog (1997)|Desperate Measures (1998)|Fire on the Mountain (1996)|Amistad (1997)|Year of the Horse (1997)|Phantoms (1998)|Bent (1997)|Winter Guest, The (1997)
Kids in the Hall: Brain Candy (1996)|Striptease (1996)|Lone Star (1996)|Unhook the Stars (1996)|River Wild, The (1994)|Emma (1996)|Loch Ness (1995)|Ice Storm, The (1997)|Eye for an Eye (1996)|I Shot Andy Warhol (1996)
Four Rooms (1995)|Searching for Bobby Fischer (1993)|Empire Strikes Back, The (1980)|Cyrano de Bergerac (1990)|Under Siege (1992)|Turbo: A Power Rangers Movie (1997)|Chasing Amy (1997)|Marvin's Room (1996)|Chinatown (1974)
Taxi Driver (1976)|I.Q. (1994)|Aladdin (1992)|Phenomenon (1996)|Sound of Music, The (1965)|Apocalypse Now (1979)|Unforgiven (1992)|Air Force One (1997)|Sabrina (1954)|Mary Shelley's Frankenstein (1994)
Babe (1995)|Spitfire Grill, The (1996)|Apocalypse Now (1979)|Breaking the Waves (1996)|When the Cats Away (Chacun cherche son chat) (1996)|In & Out (1997)|Deceiver (1997)|Dante's Peak (1997)|Deconstructing Harry (1997)|Crow: City of Angels, The (1996)
