I.Q. (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Snow White and the Seven Dwarfs (1937)|Citizen Kane (1941)|Wrong Trousers, The (1993)|Empire Strikes Back, The (1980)|Good, The Bad and The Ugly, The (1966)|Grand Day Out, A (1992)|Star Trek: First Contact (1996)
Four Rooms (1995)|Bad Boys (1995)|Searching for Bobby Fischer (1993)|Wizard of Oz, The (1939)|Bridge on the River Kwai, The (1957)|Evil Dead II (1987)|Star Trek: Generations (1994)|White Man's Burden (1995)|Tales from the Hood (1995)|Made in America (1993)
Seven (Se7en) (1995)|Braveheart (1995)|Santa Clause, The (1994)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Starship Troopers (1997)|Transformers: The Movie, The (1986)|James and the Giant Peach (1996)|Matilda (1996)|Seventh Seal, The (Sjunde inseglet, Det) (1957)
Mighty Aphrodite (1995)|Billy Madison (1995)|Professional, The (1994)|Frighteners, The (1996)|Private Benjamin (1980)|Last of the Mohicans, The (1992)|Tin Cup (1996)|Spy Hard (1996)|Touch of Evil (1958)|Sex, Lies, and Videotape (1989)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Antonia's Line (1995)|Striptease (1996)|Lone Star (1996)|Citizen Ruth (1996)|Turbo: A Power Rangers Movie (1997)|Men in Black (1997)|Sabrina (1995)|Devil's Advocate, The (1997)|Down Periscope (1996)
Muppet Treasure Island (1996)|Santa Clause, The (1994)|Gone with the Wind (1939)|Delicatessen (1991)|Clockwork Orange, A (1971)|Cyrano de Bergerac (1990)|In the Name of the Father (1993)|Apartment, The (1960)|M (1931)
Secrets & Lies (1996)|Tombstone (1993)|Streetcar Named Desire, A (1951)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)|Crow: City of Angels, The (1996)|You So Crazy (1994)
Braveheart (1995)|Ed Wood (1994)|Professional, The (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Kansas City (1996)|Roman Holiday (1953)|East of Eden (1955)|Diva (1981)|Winnie the Pooh and the Blustery Day (1968)
Evil Dead II (1987)|This Is Spinal Tap (1984)|Indiana Jones and the Last Crusade (1989)|Forbidden Planet (1956)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Clear and Present Danger (1994)|Chinatown (1974)|Life Less Ordinary, A (1997)
Brazil (1985)|Unforgiven (1992)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Tales from the Hood (1995)|Hour of the Pig, The (1993)|Fire on the Mountain (1996)|Chain Reaction (1996)|You So Crazy (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Babe (1995)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Army of Darkness (1993)|Under Siege (1992)|Men in Black (1997)|Dante's Peak (1997)|Burnt Offerings (1976)|Braindead (1992)
Sound of Music, The (1965)|Right Stuff, The (1983)|Shining, The (1980)|Indiana Jones and the Last Crusade (1989)|Field of Dreams (1989)|Jerry Maguire (1996)|Mimic (1997)|Fog, The (1980)|McHale's Navy (1997)|Corrina, Corrina (1994)
Mighty Aphrodite (1995)|Snow White and the Seven Dwarfs (1937)|Breakfast at Tiffany's (1961)|Cinema Paradiso (1988)|Henry V (1989)|Some Like It Hot (1959)|Magnificent Seven, The (1954)|Manhattan (1979)|Diva (1981)|Geronimo: An American Legend (1993)
Outbreak (1995)|Four Weddings and a Funeral (1994)|Snow White and the Seven Dwarfs (1937)|Bridge on the River Kwai, The (1957)|Sense and Sensibility (1995)|Hoodlum (1997)|In the Name of the Father (1993)|Dangerous Minds (1995)|Streetcar Named Desire, A (1951)|Kalifornia (1993)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Empire Strikes Back, The (1980)|Brazil (1985)|Full Metal Jacket (1987)|Sting, The (1973)|When the Cats Away (Chacun cherche son chat) (1996)|Mimic (1997)|Sabrina (1995)|Treasure of the Sierra Madre, The (1948)|Ninotchka (1939)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Babe (1995)|Jude (1996)|Sense and Sensibility (1995)|Marvin's Room (1996)|Ulee's Gold (1997)|In & Out (1997)|Midnight in the Garden of Good and Evil (1997)|Cop Land (1997)|Tombstone (1993)
Snow White and the Seven Dwarfs (1937)|Striptease (1996)|Long Kiss Goodnight, The (1996)|Streetcar Named Desire, A (1951)|Annie Hall (1977)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Harriet the Spy (1996)|Con Air (1997)|You So Crazy (1994)
Home Alone (1990)|Bram Stoker's Dracula (1992)|Under Siege (1992)|Murder at 1600 (1997)|Heathers (1989)|Carrie (1976)|Philadelphia Story, The (1940)|Clear and Present Danger (1994)|Hour of the Pig, The (1993)|Amityville: Dollhouse (1996)
unknown|Chasing Amy (1997)|Hoodlum (1997)|Crash (1996)|Man Who Knew Too Little, The (1997)|Waterworld (1995)|Mary Shelley's Frankenstein (1994)|M (1931)|Fried Green Tomatoes (1991)|Picture Perfect (1997)
Bad Boys (1995)|Shall We Dance? (1996)|Midnight in the Garden of Good and Evil (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Schindler's List (1993)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Private Parts (1997)
Free Willy (1993)|Citizen Kane (1941)|Air Bud (1997)|Gattaca (1997)|In & Out (1997)|L.A. Confidential (1997)|Candidate, The (1972)|Another Stakeout (1993)|House of the Spirits, The (1993)|8 1/2 (1963)
Breaking the Waves (1996)|Sneakers (1992)|Devil's Own, The (1997)|Grosse Pointe Blank (1997)|Pinocchio (1940)|Bastard Out of Carolina (1996)|Streetcar Named Desire, A (1951)|Farinelli: il castrato (1994)|Ice Storm, The (1997)|2 Days in the Valley (1996)
Gattaca (1997)|Marvin's Room (1996)|Absolute Power (1997)|Donnie Brasco (1997)|Midnight in the Garden of Good and Evil (1997)|White Man's Burden (1995)|Quick and the Dead, The (1995)|Fire on the Mountain (1996)|That Darn Cat! (1997)|You So Crazy (1994)
Contact (1997)|Absolute Power (1997)|Donnie Brasco (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Quick and the Dead, The (1995)|Postman, The (1997)|You So Crazy (1994)
Men in Black (1997)|Contact (1997)|Steel (1997)|Hoodlum (1997)|Paradise Lost: The Child Murders at Robin Hood Hills (1996)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Mary Shelley's Frankenstein (1994)|Benny & Joon (1993)|Mrs. Dalloway (1997)
Chasing Amy (1997)|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|Schindler's List (1993)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Wishmaster (1997)|Excess Baggage (1997)|Money Talks (1997)|Washington Square (1997)
Brothers McMullen, The (1995)|Sleepless in Seattle (1993)|Aladdin (1992)|Unhook the Stars (1996)|Princess Bride, The (1987)|This Is Spinal Tap (1984)|Star Trek IV: The Voyage Home (1986)|Vampire in Brooklyn (1995)|Stephen King's The Langoliers (1995)|Tales from the Hood (1995)
Muppet Treasure Island (1996)|Bad Boys (1995)|Four Weddings and a Funeral (1994)|Free Willy (1993)|Searching for Bobby Fischer (1993)|Spitfire Grill, The (1996)|Wizard of Oz, The (1939)|When the Cats Away (Chacun cherche son chat) (1996)|Batman (1989)|Hour of the Pig, The (1993)
Chasing Amy (1997)|Starship Troopers (1997)|In & Out (1997)|Apostle, The (1997)|Prophecy II, The (1998)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)
Men in Black (1997)|Starship Troopers (1997)|Secrets & Lies (1996)|Hoodlum (1997)|Fly Away Home (1996)|Apostle, The (1997)|Jackie Brown (1997)|MatchMaker, The (1997)|Peacemaker, The (1997)|Grease 2 (1982)
I.Q. (1994)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Dirty Dancing (1987)|Private Benjamin (1980)|Princess Bride, The (1987)|Back to the Future (1985)|Young Frankenstein (1974)|Jerry Maguire (1996)|Client, The (1994)
Bad Boys (1995)|Crow, The (1994)|Hudsucker Proxy, The (1994)|Aladdin (1992)|Terminator 2: Judgment Day (1991)|Dances with Wolves (1990)|Citizen Kane (1941)|This Is Spinal Tap (1984)|Citizen Ruth (1996)|Mimic (1997)
I.Q. (1994)|Snow White and the Seven Dwarfs (1937)|Spitfire Grill, The (1996)|Empire Strikes Back, The (1980)|Starship Troopers (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Spy Hard (1996)|Philadelphia Story, The (1940)|Bringing Up Baby (1938)|Funny Face (1957)
Muppet Treasure Island (1996)|Aladdin (1992)|Citizen Kane (1941)|Evil Dead II (1987)|In the Name of the Father (1993)|Harold and Maude (1971)|Vertigo (1958)|Treasure of the Sierra Madre, The (1948)|Pallbearer, The (1996)
Postino, Il (1994)|Moll Flanders (1996)|Kids in the Hall: Brain Candy (1996)|Operation Dumbo Drop (1995)|Spitfire Grill, The (1996)|Restoration (1995)|River Wild, The (1994)|Marvin's Room (1996)|Dragonheart (1996)|Freeway (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|I.Q. (1994)|Lone Star (1996)|Apocalypse Now (1979)|Donnie Brasco (1997)|Hoodlum (1997)|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|Cop Land (1997)|My Own Private Idaho (1991)|You So Crazy (1994)
Men in Black (1997)|Air Bud (1997)|Marvin's Room (1996)|Scream (1996)|L.A. Confidential (1997)|Murder at 1600 (1997)|G.I. Jane (1997)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Last Time I Committed Suicide, The (1997)
Princess Bride, The (1987)|Army of Darkness (1993)|Star Trek VI: The Undiscovered Country (1991)|Secrets & Lies (1996)|Children of the Corn: The Gathering (1996)|Transformers: The Movie, The (1986)|Vertigo (1958)|Cool Hand Luke (1967)|Ben-Hur (1959)|Quick and the Dead, The (1995)
Richard III (1995)|Professional, The (1994)|Supercop (1992)|Private Benjamin (1980)|Cyrano de Bergerac (1990)|Young Frankenstein (1974)|Jerry Maguire (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|City of Angels (1998)|I Shot Andy Warhol (1996)
Sense and Sensibility (1995)|Secrets & Lies (1996)|Dante's Peak (1997)|G.I. Jane (1997)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Stephen King's The Langoliers (1995)|Albino Alligator (1996)
Jurassic Park (1993)|Gone with the Wind (1939)|2001: A Space Odyssey (1968)|Empire Strikes Back, The (1980)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|You So Crazy (1994)
White Balloon, The (1995)|Snow White and the Seven Dwarfs (1937)|Phenomenon (1996)|When the Cats Away (Chacun cherche son chat) (1996)|In the Name of the Father (1993)|Kiss the Girls (1997)|Transformers: The Movie, The (1986)|Like Water For Chocolate (Como agua para chocolate) (1992)|M (1931)|Anne Frank Remembered (1995)
Postino, Il (1994)|Santa Clause, The (1994)|Rock, The (1996)|Swingers (1996)|Princess Bride, The (1987)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|You So Crazy (1994)
Cold Comfort Farm (1995)|Swingers (1996)|Citizen Ruth (1996)|Austin Powers: International Man of Mystery (1997)|Men in Black (1997)|Marvin's Room (1996)|Midnight in the Garden of Good and Evil (1997)|Kiss the Girls (1997)|In the Line of Fire (1993)|Jane Eyre (1996)
Muppet Treasure Island (1996)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Tales from the Hood (1995)|Fire on the Mountain (1996)|You So Crazy (1994)
Professional, The (1994)|Sleepless in Seattle (1993)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Private Benjamin (1980)|Brazil (1985)|GoodFellas (1990)|Henry V (1989)|Liar Liar (1997)|Hour of the Pig, The (1993)|Made in America (1993)
Billy Madison (1995)|Free Willy (1993)|Empire Strikes Back, The (1980)|Breaking the Waves (1996)|Ulee's Gold (1997)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Crow: City of Angels, The (1996)|Beautiful Girls (1996)|Bogus (1996)|Shiloh (1997)
Three Colors: Blue (1993)|Private Benjamin (1980)|Young Frankenstein (1974)|Star Trek: First Contact (1996)|Starship Troopers (1997)|Midnight in the Garden of Good and Evil (1997)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Vertigo (1958)|Lawrence of Arabia (1962)|Touch of Evil (1958)
Babe (1995)|Billy Madison (1995)|I.Q. (1994)|Santa Clause, The (1994)|Spitfire Grill, The (1996)|Citizen Kane (1941)|Mr. Smith Goes to Washington (1939)|Some Like It Hot (1959)|Casablanca (1942)|Annie Hall (1977)
Professional, The (1994)|Quiz Show (1994)|Dances with Wolves (1990)|Princess Bride, The (1987)|Nikita (La Femme Nikita) (1990)|Apartment, The (1960)|Adventures of Robin Hood, The (1938)|Magnificent Seven, The (1954)|Down by Law (1986)|Die xue shuang xiong (Killer, The) (1989)
Kolya (1996)|Hoodlum (1997)|Deceiver (1997)|187 (1997)|Critical Care (1997)|Interview with the Vampire (1994)|Jackal, The (1997)|Benny & Joon (1993)|Amistad (1997)|Old Man and the Sea, The (1958)
Muppet Treasure Island (1996)|Ref, The (1994)|Dances with Wolves (1990)|Princess Bride, The (1987)|Grand Day Out, A (1992)|Jerry Maguire (1996)|Time to Kill, A (1996)|In & Out (1997)|Bringing Up Baby (1938)|Ben-Hur (1959)
Postino, Il (1994)|Free Willy (1993)|Phenomenon (1996)|Mr. Smith Goes to Washington (1939)|Devil's Own, The (1997)|Tin Cup (1996)|Air Force One (1997)|Streetcar Named Desire, A (1951)|Hellraiser: Bloodline (1996)|Until the End of the World (Bis ans Ende der Welt) (1991)
Muppet Treasure Island (1996)|Santa Clause, The (1994)|Crow, The (1994)|Sleepless in Seattle (1993)|Army of Darkness (1993)|Blues Brothers, The (1980)|Around the World in 80 Days (1956)|Annie Hall (1977)|Man Who Would Be King, The (1975)|Seventh Seal, The (Sjunde inseglet, Det) (1957)
Exotica (1994)|Professional, The (1994)|Santa Clause, The (1994)|Carlito's Way (1993)|Striptease (1996)|Jerry Maguire (1996)|Men in Black (1997)|Brady Bunch Movie, The (1995)|Aladdin and the King of Thieves (1996)|Magnificent Seven, The (1954)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Angels and Insects (1995)|Once Upon a Time... When We Were Colored (1995)|Up Close and Personal (1996)|Streetcar Named Desire, A (1951)|Traveller (1997)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)
Rumble in the Bronx (1995)|Striptease (1996)|Cable Guy, The (1996)|Jaws (1975)|Sneakers (1992)|Ponette (1996)|My Own Private Idaho (1991)|Bogus (1996)|Associate, The (1996)|Thin Line Between Love and Hate, A (1996)
I.Q. (1994)|Good, The Bad and The Ugly, The (1966)|River Wild, The (1994)|Secrets & Lies (1996)|Close Shave, A (1995)|White Man's Burden (1995)|Wolf (1994)|Another Stakeout (1993)|Last Supper, The (1995)|Beautiful Girls (1996)
Professional, The (1994)|Return of the Jedi (1983)|Breaking the Waves (1996)|My Best Friend's Wedding (1997)|Kiss the Girls (1997)|Transformers: The Movie, The (1986)|Escape to Witch Mountain (1975)|War Room, The (1993)|When We Were Kings (1996)|Hard Eight (1996)
Four Weddings and a Funeral (1994)|Bedknobs and Broomsticks (1971)|Brazil (1985)|Unforgiven (1992)|This Is Spinal Tap (1984)|Star Trek VI: The Undiscovered Country (1991)|Mimic (1997)|Spy Hard (1996)|Some Like It Hot (1959)|Magnificent Seven, The (1954)
Professional, The (1994)|Sleepless in Seattle (1993)|Snow White and the Seven Dwarfs (1937)|Dead Poets Society (1989)|When the Cats Away (Chacun cherche son chat) (1996)|Tin Cup (1996)|Client, The (1994)|Third Man, The (1949)|Interview with the Vampire (1994)|Dead Man (1995)
Professional, The (1994)|Snow White and the Seven Dwarfs (1937)|Gone with the Wind (1939)|Aliens (1986)|Return of the Jedi (1983)|Blues Brothers, The (1980)|Nightmare on Elm Street, A (1984)|Annie Hall (1977)|Gandhi (1982)|Ghost and Mrs. Muir, The (1947)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Seven (Se7en) (1995)|Quiz Show (1994)|Dirty Dancing (1987)|Dead Poets Society (1989)|Client, The (1994)|James and the Giant Peach (1996)|Rebel Without a Cause (1955)|Third Man, The (1949)|Dead Man (1995)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Striptease (1996)|Supercop (1992)|unknown|Starship Troopers (1997)|Air Force One (1997)|Dante's Peak (1997)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Albino Alligator (1996)
Usual Suspects, The (1995)|Professional, The (1994)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Unhook the Stars (1996)|Terminator, The (1984)|Gattaca (1997)|Air Force One (1997)|Ulee's Gold (1997)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)
Nightmare Before Christmas, The (1993)|True Romance (1993)|Snow White and the Seven Dwarfs (1937)|Mr. Smith Goes to Washington (1939)|Raiders of the Lost Ark (1981)|Amadeus (1984)|Sense and Sensibility (1995)|Secrets & Lies (1996)|James and the Giant Peach (1996)|Until the End of the World (Bis ans Ende der Welt) (1991)
Sleepless in Seattle (1993)|Dances with Wolves (1990)|Wizard of Oz, The (1939)|GoodFellas (1990)|Jerry Maguire (1996)|James and the Giant Peach (1996)|Bringing Up Baby (1938)|Magnificent Seven, The (1954)|Miller's Crossing (1990)|Cook the Thief His Wife & Her Lover, The (1989)
Batman & Robin (1997)|When the Cats Away (Chacun cherche son chat) (1996)|Donnie Brasco (1997)|Ulee's Gold (1997)|G.I. Jane (1997)|Trainspotting (1996)|Wild Bill (1995)|Farinelli: il castrato (1994)|Tales from the Hood (1995)|Peacemaker, The (1997)
Snow White and the Seven Dwarfs (1937)|Chasing Amy (1997)|Air Force One (1997)|Ice Storm, The (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Winter Guest, The (1997)|You So Crazy (1994)
Dolores Claiborne (1994)|Santa Clause, The (1994)|Cyrano de Bergerac (1990)|Pink Floyd - The Wall (1982)|Some Like It Hot (1959)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Village of the Damned (1995)|Browning Version, The (1994)|You So Crazy (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Frighteners, The (1996)|Jude (1996)|Monty Python and the Holy Grail (1974)|Breaking the Waves (1996)|Sabrina (1995)|Sense and Sensibility (1995)|Highlander (1986)|Misérables, Les (1995)|Last Supper, The (1995)
I.Q. (1994)|Citizen Kane (1941)|Army of Darkness (1993)|Cyrano de Bergerac (1990)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Philadelphia Story, The (1940)|Wings of Desire (1987)|Miller's Crossing (1990)|Treasure of the Sierra Madre, The (1948)|Down by Law (1986)
Four Weddings and a Funeral (1994)|Searching for Bobby Fischer (1993)|Glengarry Glen Ross (1992)|Henry V (1989)|This Is Spinal Tap (1984)|Hoodlum (1997)|Aladdin and the King of Thieves (1996)|Philadelphia Story, The (1940)|Rocket Man (1997)|Corrina, Corrina (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Seven (Se7en) (1995)|Rumble in the Bronx (1995)|Forrest Gump (1994)|Free Willy (1993)|Home Alone (1990)|Striptease (1996)|Men in Black (1997)|Pocahontas (1995)|Hunchback of Notre Dame, The (1996)
Remains of the Day, The (1993)|Gone with the Wind (1939)|Clockwork Orange, A (1971)|Blues Brothers, The (1980)|Client, The (1994)|Vertigo (1958)|Bringing Up Baby (1938)|My Life as a Dog (Mitt liv som hund) (1985)|Touch of Evil (1958)|House of the Spirits, The (1993)
Full Monty, The (1997)|Scream (1996)|Hoodlum (1997)|Cop Land (1997)|Waterworld (1995)|White Man's Burden (1995)|Mary Shelley's Frankenstein (1994)|Vegas Vacation (1997)|Hugo Pool (1997)|You So Crazy (1994)
Twelve Monkeys (1995)|Searching for Bobby Fischer (1993)|Snow White and the Seven Dwarfs (1937)|Spitfire Grill, The (1996)|Godfather, The (1972)|Citizen Kane (1941)|Aliens (1986)|GoodFellas (1990)|Annie Hall (1977)|Relative Fear (1994)
Event Horizon (1997)|Hoodlum (1997)|In & Out (1997)|Midnight in the Garden of Good and Evil (1997)|Crash (1996)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Soul Food (1997)|You So Crazy (1994)
Usual Suspects, The (1995)|Mighty Aphrodite (1995)|Rumble in the Bronx (1995)|What's Eating Gilbert Grape (1993)|Unbearable Lightness of Being, The (1988)|Citizen Ruth (1996)|unknown|Chasing Amy (1997)|Sabrina (1995)|Indian in the Cupboard, The (1995)
White Balloon, The (1995)|Gone with the Wind (1939)|Starship Troopers (1997)|Client, The (1994)|Transformers: The Movie, The (1986)|Pump Up the Volume (1990)|Bad Moon (1996)|Afterglow (1997)|Hear My Song (1991)|Boys of St. Vincent, The (1993)
Muppet Treasure Island (1996)|Santa Clause, The (1994)|Gone with the Wind (1939)|Brazil (1985)|Apocalypse Now (1979)|Midnight in the Garden of Good and Evil (1997)|Vertigo (1958)|Annie Hall (1977)|MatchMaker, The (1997)|Innocents, The (1961)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Aladdin (1992)|Snow White and the Seven Dwarfs (1937)|Wallace & Gromit: The Best of Aardman Animation (1996)|Gone with the Wind (1939)|Cinema Paradiso (1988)|Brazil (1985)|Raging Bull (1980)|To Kill a Mockingbird (1962)|James and the Giant Peach (1996)
Rock, The (1996)|Breaking the Waves (1996)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Village of the Damned (1995)|Cliffhanger (1993)
Seven (Se7en) (1995)|Crimson Tide (1995)|Professional, The (1994)|Sleepless in Seattle (1993)|Groundhog Day (1993)|Indiana Jones and the Last Crusade (1989)|Star Trek: First Contact (1996)|Midnight in the Garden of Good and Evil (1997)|Dial M for Murder (1954)|Gandhi (1982)
Bad Boys (1995)|Free Willy (1993)|Delicatessen (1991)|Empire Strikes Back, The (1980)|Apocalypse Now (1979)|Evil Dead II (1987)|Client, The (1994)|My Left Foot (1989)|M (1931)|Dazed and Confused (1993)
Apocalypse Now (1979)|Right Stuff, The (1983)|Matilda (1996)|Third Man, The (1949)|Wild Bill (1995)|Blown Away (1994)|City Slickers II: The Legend of Curly's Gold (1994)|Cliffhanger (1993)|Thin Blue Line, The (1988)|Candyman (1992)
Braveheart (1995)|I.Q. (1994)|Dances with Wolves (1990)|Private Benjamin (1980)|Monty Python and the Holy Grail (1974)|Unforgiven (1992)|Cyrano de Bergerac (1990)|Highlander (1986)|Apartment, The (1960)|Around the World in 80 Days (1956)
Empire Strikes Back, The (1980)|Young Frankenstein (1974)|Third Man, The (1949)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Pump Up the Volume (1990)
Crow, The (1994)|Snow White and the Seven Dwarfs (1937)|Cold Comfort Farm (1995)|Private Benjamin (1980)|Delicatessen (1991)|Devil's Own, The (1997)|unknown|Sabrina (1995)|3 Ninjas: High Noon At Mega Mountain (1998)|Deconstructing Harry (1997)
unknown|Absolute Power (1997)|Wag the Dog (1997)|Desperate Measures (1998)|Fire on the Mountain (1996)|Amistad (1997)|Year of the Horse (1997)|Phantoms (1998)|Bent (1997)|Winter Guest, The (1997)
Kids in the Hall: Brain Candy (1996)|Striptease (1996)|Lone Star (1996)|Unhook the Stars (1996)|River Wild, The (1994)|Tombstone (1993)|Vampire in Brooklyn (1995)|Great Day in Harlem, A (1994)|Loch Ness (1995)|Ice Storm, The (1997)
I.Q. (1994)|Empire Strikes Back, The (1980)|Cyrano de Bergerac (1990)|Mimic (1997)|Chasing Amy (1997)|Midnight in the Garden of Good and Evil (1997)|Blob, The (1958)|Annie Hall (1977)|Cutthroat Island (1995)
Taxi Driver (1976)|I.Q. (1994)|Aladdin (1992)|Phenomenon (1996)|Sound of Music, The (1965)|Apocalypse Now (1979)|Unforgiven (1992)|Air Force One (1997)|Sabrina (1954)|Village of the Damned (1995)
